step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
0,0.0000,0.0540,0.0000,-0.0039,0.0118,-0.0234,-0.2758,0.3416,1.6855,-0.1381,-0.4876,-0.4227,0.4448,0.07027,0.01919,1.0635,0.4522,-1.1191,-0.1168,0.00000,0.00000,0.0000,0.0000
1,0.0400,0.1015,0.0000,-0.0067,0.1721,-0.0299,-0.7694,0.3829,0.6355,-1.5568,-0.4846,-0.4196,0.4195,0.09174,0.04351,1.2967,1.3539,0.5799,1.2176,0.00000,0.00000,0.0060,0.0120
2,0.0800,0.1433,0.0000,0.0013,0.1892,-0.0015,-1.1301,-0.0377,0.2846,-1.9879,-0.4837,-0.4171,0.3806,0.10720,0.00965,2.0230,0.8773,0.7138,1.6244,0.00000,0.00000,0.0120,0.0240
3,0.1200,0.1801,0.0000,0.0211,0.2484,-0.0178,-1.5767,0.0510,-0.2445,-0.1427,-0.4813,-0.4144,0.3230,0.09897,0.01497,1.2625,0.8521,0.5221,1.3171,0.00000,0.00000,0.0180,0.0360
4,0.1600,0.2125,0.0000,0.0410,0.2411,0.0200,-2.0491,-0.5662,-0.1048,1.5860,-0.4807,-0.4120,0.2470,0.09203,-0.01672,0.3035,0.5226,0.6134,0.0865,0.00000,0.00000,0.0240,0.0480
5,0.2000,0.2410,0.0000,0.0489,0.1222,0.0721,-0.1394,-0.4361,-0.3062,0.0704,-0.4811,-0.4076,0.2102,0.07359,-0.03061,-0.2633,-0.3352,-0.3050,0.2770,0.00000,0.00000,0.0300,0.0600
6,0.2400,0.2661,0.0000,0.0460,0.2179,-0.0106,0.2401,0.0501,-0.6066,0.1267,-0.4799,-0.4007,0.2146,0.06014,-0.05154,-0.4007,-0.7146,-0.5028,-0.7880,0.00000,0.00000,0.0360,0.0720
7,0.2800,0.2882,0.0000,0.0420,0.2260,-0.0354,0.2399,0.1868,-0.1873,0.1302,-0.4738,-0.3935,0.2226,0.03654,-0.03216,-0.3541,-0.8363,-0.3336,-0.1630,0.00000,0.00000,0.0420,0.0840
8,0.3200,0.3076,0.0000,0.0372,0.2263,0.0224,0.0662,-0.1181,-0.1990,0.0226,-0.4696,-0.3860,0.2266,0.03224,-0.03255,0.0392,-0.1929,-0.0376,0.0462,0.00000,0.00000,0.0480,0.0959
9,0.3600,0.3247,0.0000,0.0344,0.2321,0.0035,-0.0476,-0.0209,-0.0698,0.1874,-0.4657,-0.3780,0.2244,0.02913,-0.03794,0.0148,-0.0794,-0.0908,0.0471,0.00000,0.00000,0.0540,0.1079
