step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
0,0.0000,-0.0150,0.0000,0.0600,-0.0274,-0.0001,-0.2724,0.4372,1.9547,-0.2047,-0.4416,0.3561,0.4450,0.08172,2.42142,1.1963,0.6219,-1.1936,-0.1261,0.00000,0.00000,0.0000,0.0000
1,0.0400,-0.0291,0.0000,0.1128,0.1668,-0.0238,-0.7623,0.6895,0.4550,-1.9489,-0.4423,0.3524,0.4203,0.10027,2.76839,1.4134,1.6464,0.6045,1.5642,0.00000,0.00000,0.0060,0.0120
2,0.0800,-0.0461,0.0000,0.1593,0.1662,0.0077,-1.2040,-0.0499,0.6042,-2.3173,-0.4410,0.3505,0.3792,0.12424,3.04242,2.3728,1.4446,0.9680,1.8918,0.00000,0.00000,0.0120,0.0240
3,0.1200,-0.0661,0.0000,0.2002,0.2436,0.0031,-1.5761,-0.1662,-0.1131,-0.0509,-0.4404,0.3480,0.3214,0.12194,3.07742,1.4481,1.0211,0.6166,1.4161,0.00000,0.00000,0.0180,0.0360
4,0.1600,-0.0851,0.0000,0.2361,0.2689,0.0544,-2.0122,-0.8333,0.1085,1.8821,-0.4384,0.3477,0.2469,0.12650,-3.04921,0.4396,0.5114,0.4744,0.0395,0.00000,0.00000,0.0240,0.0480
5,0.2000,-0.0995,0.0000,0.2678,0.0736,-0.0028,0.0480,-0.0160,-0.7034,-0.0461,-0.4368,0.3460,0.2180,0.10685,-2.97662,-0.1336,-0.3339,-0.4524,0.1939,0.00000,0.00000,0.0300,0.0600
6,0.2400,-0.1108,0.0000,0.2957,0.0984,0.0102,0.1737,-0.3012,-0.9093,0.6756,-0.4373,0.3425,0.2249,0.07338,-2.95141,-0.3246,-0.9054,-0.5343,-0.9413,0.00000,0.00000,0.0360,0.0720
7,0.2800,-0.1210,0.0000,0.3202,0.0878,0.0599,0.1054,-0.3104,-0.5380,0.1697,-0.4355,0.3389,0.2275,0.03511,-2.68811,-0.3505,-0.8960,-0.4428,-0.0968,0.00000,0.00000,0.0420,0.0840
8,0.3200,-0.1299,0.0000,0.3418,0.0929,0.0291,0.0610,-0.1465,-0.6679,0.2838,-0.4332,0.3359,0.2293,0.01459,-2.56884,-0.0126,-0.2764,-0.0610,0.0489,0.00000,0.00000,0.0480,0.0959
9,0.3600,-0.1388,0.0000,0.3607,0.0807,-0.0807,-0.0337,0.3898,-0.3342,0.3495,-0.4349,0.3333,0.2278,0.00097,-2.54519,0.0401,-0.0353,-0.1923,0.0826,0.00000,0.00000,0.0540,0.1079
10,0.4000,-0.1469,0.0000,0.3775,0.0872,-0.0399,0.0143,0.1951,-0.3627,0.2070,-0.4380,0.3302,0.2259,-0.01551,-2.69044,0.0475,-0.1280,-0.1300,-0.0592,0.00000,0.00000,0.0600,0.1199
11,0.4400,-0.1544,0.0000,0.3922,0.0738,-0.0079,0.0727,0.0364,-0.1054,0.2166,-0.4389,0.3274,0.2266,-0.02232,-2.65920,0.0511,-0.1113,-0.1695,0.0556,0.00000,0.00000,0.0660,0.1318
12,0.4800,-0.1613,0.0000,0.4051,0.0766,-0.0181,0.0312,0.0853,-0.2056,0.2673,-0.4394,0.3246,0.2273,-0.02820,-2.30007,0.0374,-0.0923,-0.1607,0.0192,0.00000,0.00000,0.0720,0.1438
13,0.5200,-0.1679,0.0000,0.4165,0.0641,-0.0005,0.0284,-0.0007,-0.0458,0.2863,-0.4400,0.3219,0.2269,-0.03338,-0.46163,0.0542,-0.1276,-0.1509,0.0173,0.00000,0.00000,0.0780,0.1557
14,0.5600,-0.1739,0.0000,0.4265,0.0625,-0.0033,0.0279,0.0111,-0.1272,0.2462,-0.4399,0.3196,0.2267,-0.03624,-0.23496,0.0300,-0.0987,-0.1551,0.0532,0.00000,0.00000,0.0840,0.1676
15,0.6000,-0.1795,0.0000,0.4353,0.0749,-0.0226,0.0281,0.1081,-0.4971,0.2193,-0.4404,0.3173,0.2264,-0.04992,-0.07743,0.0300,-0.0985,-0.1696,0.0485,0.00000,0.00000,0.0899,0.1796
16,0.6400,-0.1847,0.0000,0.4431,0.0410,0.0075,0.0416,-0.0355,-0.0033,0.2946,-0.4409,0.3152,0.2265,-0.05855,-0.00690,0.0594,-0.1237,-0.1573,-0.0582,0.00000,0.00000,0.0959,0.1915
17,0.6800,-0.1895,0.0000,0.4499,0.0337,0.0196,0.0222,-0.0894,-0.1397,0.2634,-0.4400,0.3140,0.2263,-0.06099,-0.08830,0.0423,-0.1009,-0.1480,0.0477,0.00000,0.00000,0.1019,0.2034
18,0.7200,-0.1939,0.0000,0.4559,0.0122,-0.0092,0.0356,0.0426,0.0955,0.3445,-0.4398,0.3133,0.2260,-0.05999,-0.08530,0.0378,-0.1040,-0.1753,0.0332,0.00000,0.00000,0.1079,0.2153
19,0.7600,-0.1978,0.0000,0.4612,0.0104,-0.0053,0.0357,0.0254,-0.0951,0.2045,-0.4401,0.3129,0.2259,-0.06125,-0.06147,0.0463,-0.1051,-0.1316,0.0166,0.00000,0.00000,0.1139,0.2271
20,0.8000,-0.2013,0.0000,0.4659,-0.0062,-0.0131,0.0418,0.0615,-0.0119,0.3268,-0.4406,0.3130,0.2261,-0.06217,-0.03762,0.0214,-0.1136,-0.1831,0.0128,0.00000,0.00000,0.1199,0.2390
21,0.8400,-0.2043,0.0000,0.4700,-0.0155,-0.0002,0.0456,0.0018,-0.0730,0.2020,-0.4410,0.3136,0.2262,-0.06464,-0.02620,0.0645,-0.1066,-0.1372,0.0442,0.00000,0.00000,0.1259,0.2508
