step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
0,0.0000,0.0172,0.0000,0.0600,0.0242,-0.0414,-0.2684,0.3843,1.6936,-0.1631,-0.2182,0.2345,0.4448,0.07098,0.01170,1.0720,0.4546,-1.1498,-0.0865,-0.01147,0.01252,0.0000,0.0000
1,0.0400,0.0321,0.0000,0.1128,0.1826,-0.0515,-0.7474,0.4910,0.4909,-1.7064,-0.2151,0.2306,0.4205,0.08847,0.03271,1.3304,1.2697,0.4661,1.3569,-0.02449,-0.00339,0.0060,0.0120
2,0.0800,0.0424,0.0000,0.1593,0.1936,-0.0186,-1.1571,-0.0558,0.4011,-2.1287,-0.2127,0.2286,0.3807,0.10657,0.01380,2.1422,1.0692,0.7748,1.7082,-0.02293,-0.01738,0.0120,0.0240
3,0.1200,0.0478,0.0000,0.2002,0.2545,-0.0264,-1.5818,-0.0674,-0.1940,-0.2063,-0.2099,0.2257,0.3228,0.10043,0.01071,1.3847,0.8978,0.5903,1.3506,-0.03137,-0.02448,0.0180,0.0360
4,0.1600,0.0514,0.0000,0.2361,0.2820,0.0317,-2.0173,-0.5670,-0.2085,1.9602,-0.2078,0.2246,0.2476,0.09853,-0.01495,0.4434,0.5033,0.5194,0.0942,-0.02638,-0.02104,0.0240,0.0480
5,0.2000,0.0568,0.0000,0.2678,0.1580,-0.0768,-0.2333,0.3848,-1.3587,0.0212,-0.2052,0.2218,0.2110,0.05551,-0.00507,-0.2911,0.2241,-0.1491,0.2332,-0.03123,-0.00683,0.0300,0.0600
6,0.2400,0.0633,0.0000,0.2957,0.0681,-0.0207,0.2248,-0.2364,-0.1703,0.6998,-0.2030,0.2172,0.2147,0.02536,0.00899,-0.4085,-0.8702,-0.5103,-0.8954,-0.01308,0.00839,0.0360,0.0720
7,0.2800,0.0696,0.0000,0.3202,0.0398,0.0986,0.2287,-0.5009,0.1359,0.1243,-0.1998,0.2185,0.2217,0.01884,-0.00711,-0.2906,-0.8419,-0.4626,-0.0444,-0.01266,0.01397,0.0420,0.0840
8,0.3200,0.0757,0.0000,0.3418,0.0666,0.0097,0.0516,0.0718,-0.3373,-0.0069,-0.1967,0.2199,0.2258,0.01417,-0.01804,-0.0592,-0.1798,-0.0935,0.0759,-0.02325,0.01844,0.0480,0.0959
9,0.3600,0.0806,0.0000,0.3607,0.0757,-0.0547,0.0068,0.2574,-0.4395,0.5644,-0.1952,0.2173,0.2249,-0.00091,-0.00936,0.0089,-0.1371,-0.1751,0.0691,-0.01473,0.02058,0.0540,0.1079
10,0.4000,0.0853,0.0000,0.3775,0.0548,0.0079,0.0406,-0.0438,0.0345,0.3287,-0.1936,0.2150,0.2243,-0.00852,-0.00348,0.0139,-0.1606,-0.1267,-0.0483,-0.00110,0.02116,0.0600,0.1199
11,0.4400,0.0901,0.0000,0.3922,0.0550,0.0257,0.0430,-0.1301,0.0601,0.3242,-0.1912,0.2151,0.2248,-0.00519,-0.00891,-0.0099,-0.1332,-0.1215,0.0372,-0.00170,0.01937,0.0660,0.1318
12,0.4800,0.0947,0.0000,0.4051,0.0697,-0.0007,0.0105,-0.0021,-0.1586,0.2323,-0.1888,0.2144,0.2242,-0.00813,-0.01131,-0.0090,-0.1190,-0.1027,0.0247,-0.00477,0.01645,0.0720,0.1438
13,0.5200,0.0992,0.0000,0.4165,0.0727,-0.0277,0.0575,0.1313,-0.1429,0.3186,-0.1867,0.2126,0.2241,-0.01378,-0.00756,-0.0021,-0.1302,-0.1438,0.0942,-0.00233,0.01773,0.0780,0.1557
14,0.5600,0.1035,0.0000,0.4265,0.0733,-0.0092,0.0521,0.0438,-0.1124,0.2681,-0.1845,0.2106,0.2250,-0.01964,-0.00300,-0.0040,-0.1463,-0.1097,-0.0239,0.00317,0.01445,0.0840,0.1676
15,0.6000,0.1076,0.0000,0.4353,0.0653,0.0091,0.0303,-0.0490,0.0017,0.2704,-0.1821,0.2096,0.2252,-0.02098,-0.00355,0.0107,-0.1203,-0.1100,0.0467,0.00479,0.01501,0.0899,0.1796
16,0.6400,0.1116,0.0000,0.4431,0.0647,-0.0040,0.0210,0.0181,0.0073,0.3589,-0.1797,0.2087,0.2247,-0.02009,-0.00393,-0.0194,-0.1189,-0.1330,0.0516,0.00258,0.01463,0.0959,0.1915
