step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
0,0.0000,-0.0100,0.0000,-0.0600,-0.0348,0.0387,-0.2724,0.5226,1.8612,-0.1547,0.2738,0.3631,0.4451,0.07725,3.12085,1.1175,0.5931,-1.2076,-0.0773,0.00000,0.00000,0.0000,0.0000
1,0.0400,-0.0194,0.0000,-0.1128,0.1458,0.0285,-0.7905,0.4211,0.6479,-1.7619,0.2717,0.3598,0.4193,0.09930,3.10221,1.3564,1.6681,0.7269,1.3878,0.00000,0.00000,0.0060,0.0120
2,0.0800,-0.0277,0.0000,-0.1593,0.1578,0.0487,-1.1754,0.0249,0.5058,-2.2833,0.2718,0.3563,0.3791,0.12241,3.12321,2.2500,1.2963,0.8980,1.8449,0.00000,0.00000,0.0120,0.0240
3,0.1200,-0.0347,0.0000,-0.2002,0.2324,0.0424,-1.5687,-0.1161,-0.0858,-0.0591,0.2713,0.3532,0.3218,0.12112,3.12753,1.3664,0.9276,0.5355,1.3987,0.00000,0.00000,0.0180,0.0360
4,0.1600,-0.0413,0.0000,-0.2361,0.2570,0.0965,-2.0184,-0.8209,0.1141,1.8016,0.2736,0.3499,0.2470,0.12471,-3.12638,0.3999,0.4528,0.5085,0.0661,0.00000,0.00000,0.0240,0.0480
5,0.2000,-0.0488,0.0000,-0.2678,0.0491,0.0485,0.0462,-0.2979,-0.2508,-0.1381,0.2746,0.3465,0.2172,0.11751,-3.11801,-0.0123,-0.3193,-0.4485,0.2133,0.00000,0.00000,0.0300,0.0600
6,0.2400,-0.0569,0.0000,-0.2957,0.1277,0.0392,0.1917,-0.2091,-1.0403,-0.1848,0.2730,0.3425,0.2238,0.08709,-3.10518,-0.2147,-0.7207,-0.4052,-0.8520,0.00000,0.00000,0.0360,0.0720
7,0.2800,-0.0649,0.0000,-0.3202,0.1486,-0.0005,0.0817,0.0001,-1.0330,-0.0664,0.2695,0.3390,0.2271,0.03869,-3.10098,-0.3873,-0.8205,-0.3613,-0.1467,0.00000,0.00000,0.0420,0.0840
8,0.3200,-0.0729,0.0000,-0.3418,0.1264,0.0166,0.0418,-0.0878,-0.6768,-0.3669,0.2660,0.3363,0.2275,0.00675,-3.09940,0.0242,-0.2941,-0.0359,0.0237,0.00000,0.00000,0.0480,0.0959
9,0.3600,-0.0806,0.0000,-0.3607,0.1065,-0.0507,-0.0179,0.2691,-0.2275,-0.2987,0.2622,0.3350,0.2263,-0.00413,-3.10460,0.0247,-0.0407,-0.1392,0.0504,0.00000,0.00000,0.0540,0.1079
10,0.4000,-0.0880,0.0000,-0.3775,0.1132,-0.0364,0.0137,0.1960,-0.2231,-0.4514,0.2574,0.3347,0.2247,-0.01526,-3.11713,0.0748,-0.0989,-0.0886,-0.0045,0.00000,0.00000,0.0600,0.1199
11,0.4400,-0.0953,0.0000,-0.3922,0.1122,-0.0025,0.0513,0.0159,-0.1799,-0.5193,0.2532,0.3331,0.2249,-0.02335,-3.12178,0.0567,-0.1072,-0.0897,-0.0049,0.00000,0.00000,0.0660,0.1318
12,0.4800,-0.1023,0.0000,-0.4051,0.1149,-0.0188,0.0351,0.1009,-0.2426,-0.5366,0.2493,0.3313,0.2253,-0.03142,-3.12491,0.0419,-0.0852,-0.1145,0.0596,0.00000,0.00000,0.0720,0.1438
13,0.5200,-0.1090,0.0000,-0.4165,0.1198,-0.0196,0.0438,0.1012,-0.3855,-0.4359,0.2449,0.3300,0.2256,-0.04497,-3.13078,0.0629,-0.1097,-0.1277,0.0355,0.00000,0.00000,0.0780,0.1557
14,0.5600,-0.1154,0.0000,-0.4265,0.0981,-0.0092,0.0412,0.0468,-0.1147,-0.4494,0.2410,0.3288,0.2261,-0.05336,-3.13551,0.0588,-0.0925,-0.1451,0.0150,0.00000,0.00000,0.0840,0.1676
15,0.6000,-0.1216,0.0000,-0.4353,0.0801,0.0097,0.0275,-0.0500,0.0502,-0.4540,0.2378,0.3272,0.2261,-0.05423,-3.13626,0.0476,-0.1056,-0.1150,0.0168,0.00000,0.00000,0.0899,0.1796
16,0.6400,-0.1275,0.0000,-0.4431,0.0735,0.0022,0.0100,-0.0105,0.0055,-0.5616,0.2351,0.3255,0.2254,-0.05278,-3.13584,0.0357,-0.0728,-0.1002,0.0569,0.00000,0.00000,0.0959,0.1915
17,0.6800,-0.1331,0.0000,-0.4499,0.0758,-0.0140,0.0190,0.0737,-0.1736,-0.4108,0.2323,0.3245,0.2247,-0.05664,-3.13847,0.0113,-0.0905,-0.1305,0.0217,0.00000,0.00000,0.1019,0.2034
18,0.7200,-0.1383,0.0000,-0.4559,0.0617,0.0075,0.0606,-0.0395,-0.0593,-0.5079,0.2297,0.3237,0.2250,-0.06163,-3.14075,0.0654,-0.1178,-0.1182,0.0423,0.00000,0.00000,0.1079,0.2153
