step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
0,0.0000,0.3288,0.0000,-0.0217,-0.0373,0.0086,-0.2744,0.4526,1.3502,-0.2073,-4.0852,-75.5571,1.1121,0.05729,3.12865,0.9212,0.3461,-0.9851,0.1127,0.00000,0.00000
1,0.0400,0.3288,0.0000,-0.0217,0.0931,-0.0027,-0.8025,0.3304,0.9083,-1.4415,-4.0866,-75.5570,1.0859,0.08947,3.11143,1.2925,1.7293,0.5580,1.1396,0.00000,0.00000
2,0.0800,0.3288,0.0000,-0.0217,0.1594,-0.0056,-1.1711,0.3021,0.4324,-2.5335,-4.0880,-75.5576,1.0462,0.11169,3.11634,2.2198,1.5089,0.8613,2.0238,0.00000,0.00000
3,0.1200,0.3288,0.0000,-0.0217,0.2075,0.0016,-1.5750,-0.1909,0.0197,-0.0750,-4.0899,-75.5581,0.9887,0.11331,3.12357,1.3011,0.9685,0.5802,1.5030,0.00000,0.00000
4,0.1600,0.3288,0.0000,-0.0217,0.2231,0.0502,-2.0331,-0.7211,0.1731,1.9666,-4.0904,-75.5601,0.9139,0.11621,-3.13484,0.1235,0.3528,0.5271,0.0911,0.00000,0.00000
5,0.2000,0.3288,0.0000,-0.0217,0.1763,0.0104,-0.0947,-0.0790,0.4131,-0.0035,-4.0943,-75.5589,0.8774,0.14109,3.13924,-0.3969,-0.3253,-0.2863,0.2495,0.00000,0.00000
6,0.2400,0.3288,0.0000,-0.0217,0.2754,0.0287,0.2097,-0.1494,-0.6093,-0.1664,-4.1037,-75.5573,0.8810,0.14051,-3.13631,-0.2263,-0.5864,-0.4926,-0.9093,0.00000,0.00000
7,0.2800,0.3288,0.0000,-0.0217,0.3356,-0.0411,0.1742,0.2126,-0.6523,-0.0380,-4.1157,-75.5523,0.8857,0.10474,-3.14010,-0.5090,-0.8580,-0.3676,-0.1385,0.00000,0.00000
8,0.3200,0.3288,0.0000,-0.0217,0.3494,0.0323,0.1717,-0.1670,-0.5324,-0.0322,-4.1284,-75.5474,0.8898,0.08237,-3.14027,0.0549,-0.2820,-0.0608,0.0493,0.00000,0.00000
9,0.3600,0.3288,0.0000,-0.0217,0.3690,0.0191,0.0525,-0.1005,-0.4464,0.1227,-4.1420,-75.5439,0.8915,0.06655,-3.13395,0.0448,-0.0681,-0.1097,0.0554,0.00000,0.00000
10,0.4000,0.3288,0.0000,-0.0217,0.3970,0.0004,0.0272,-0.0039,-0.5040,0.0272,-4.1562,-75.5391,0.8902,0.04667,-3.13286,0.0457,-0.0763,-0.1087,0.0431,0.00000,0.00000
11,0.4400,0.3288,0.0000,-0.0217,0.4142,0.0015,0.0680,-0.0085,-0.4160,-0.0302,-4.1711,-75.5337,0.8902,0.02848,-3.13278,0.0265,-0.1073,-0.1134,0.0084,0.00000,0.00000
12,0.4800,0.3288,0.0000,-0.0217,0.4253,-0.0001,0.0600,-0.0011,-0.3231,-0.0358,-4.1867,-75.5282,0.8910,0.01397,-3.13272,0.0269,-0.1072,-0.1008,0.0052,0.00000,0.00000
13,0.5200,0.3288,0.0000,-0.0217,0.4314,0.0017,0.0355,-0.0100,-0.2378,-0.0097,-4.2026,-75.5224,0.8912,0.00301,-3.13275,0.0321,-0.1008,-0.0999,0.0172,0.00000,0.00000
14,0.5600,0.3288,0.0000,-0.0217,0.4374,0.0057,0.0269,-0.0303,-0.1928,-0.0153,-4.2188,-75.5167,0.8909,-0.00539,-3.13195,0.0345,-0.0952,-0.0979,0.0210,0.00000,0.00000
15,0.6000,0.3288,0.0000,-0.0217,0.4434,0.0035,0.0289,-0.0189,-0.1652,-0.0279,-4.2353,-75.5110,0.8907,-0.01233,-3.13097,0.0300,-0.0970,-0.1025,0.0175,0.00000,0.00000
16,0.6400,0.3288,0.0000,-0.0217,0.4474,0.0006,0.0302,-0.0047,-0.1262,-0.0227,-4.2519,-75.5050,0.8906,-0.01807,-3.13069,0.0275,-0.1030,-0.1019,0.0086,0.00000,0.00000
17,0.6800,0.3288,0.0000,-0.0217,0.4502,-0.0001,0.0272,-0.0008,-0.1005,-0.0179,-4.2687,-75.4989,0.8906,-0.02253,-3.13075,0.0284,-0.1013,-0.1000,0.0134,0.00000,0.00000
18,0.7200,0.3288,0.0000,-0.0217,0.4526,0.0013,0.0235,-0.0080,-0.0924,-0.0100,-4.2856,-75.4928,0.8906,-0.02635,-3.13070,0.0304,-0.0999,-0.0998,0.0098,0.00000,0.00000
19,0.7600,0.3288,0.0000,-0.0217,0.4544,0.0001,0.0228,-0.0016,-0.0867,-0.0227,-4.3025,-75.4867,0.8905,-0.02979,-3.13062,0.0297,-0.0977,-0.1056,0.0161,0.00000,0.00000
20,0.8000,0.3288,0.0000,-0.0217,0.4541,-0.0001,0.0306,-0.0008,-0.0424,-0.0328,-4.3195,-75.4805,0.8907,-0.03224,-3.13076,0.0281,-0.1114,-0.1154,0.0133,0.00000,0.00000
21,0.8400,0.3288,0.0000,-0.0217,0.4545,-0.0001,0.0260,-0.0011,-0.0307,-0.0424,-4.3365,-75.4743,0.8910,-0.03370,-3.13086,0.0254,-0.1094,-0.1072,0.0098,0.00000,0.00000
22,0.8800,0.3288,0.0000,-0.0217,0.4548,0.0001,0.0197,-0.0017,-0.0343,-0.0449,-4.3535,-75.4681,0.8910,-0.03504,-3.13098,0.0274,-0.1063,-0.1067,0.0161,0.00000,0.00000
23,0.9200,0.3288,0.0000,-0.0217,0.4545,-0.0001,0.0214,-0.0011,-0.0199,-0.0169,-4.3705,-75.4619,0.8909,-0.03610,-3.13107,0.0268,-0.1090,-0.1074,0.0186,0.00000,0.00000
24,0.9600,0.3288,0.0000,-0.0217,0.4545,0.0008,0.0196,-0.0056,-0.0174,-0.0274,-4.3875,-75.4556,0.8909,-0.03687,-3.13107,0.0275,-0.1063,-0.1034,0.0151,0.00000,0.00000
25,1.0000,0.3288,0.0000,-0.0217,0.4550,0.0000,0.0200,-0.0015,-0.0266,-0.0401,-4.4045,-75.4493,0.8909,-0.03775,-3.13105,0.0259,-0.1070,-0.1076,0.0192,0.00000,0.00000
26,1.0400,0.3288,0.0000,-0.0217,0.4545,-0.0004,0.0207,0.0006,-0.0144,-0.0354,-4.4215,-75.4430,0.8909,-0.03858,-3.13123,0.0250,-0.1091,-0.1066,0.0133,0.00000,0.00000
27,1.0800,0.3288,0.0000,-0.0217,0.4537,0.0017,0.0215,-0.0099,-0.0019,-0.0766,-4.4385,-75.4368,0.8910,-0.03892,-3.13122,0.0278,-0.1098,-0.1067,0.0189,0.00000,0.00000
28,1.1200,0.3288,0.0000,-0.0217,0.4533,0.0018,0.0199,-0.0110,-0.0000,-0.0678,-4.4555,-75.4305,0.8910,-0.03897,-3.13093,0.0237,-0.1118,-0.1064,0.0105,0.00000,0.00000
