step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
0,0.0000,0.7229,0.0000,-0.1093,-0.1227,-0.0037,-0.2947,0.3474,2.6401,-0.2150,-27.5791,-75.8832,0.9087,0.10618,0.01262,1.4541,0.9851,-1.3933,-0.4064,-0.00772,-0.00664
1,0.0400,0.7229,0.0000,-0.1093,0.1339,-0.0255,-0.7950,0.9853,1.2792,-2.4939,-27.5789,-75.8839,0.8832,0.15249,0.03101,2.0136,3.6027,0.8479,1.6590,-0.02119,-0.02024
2,0.0800,0.7229,0.0000,-0.1093,0.3124,-0.0502,-1.2860,1.0229,2.0022,-2.9050,-27.5783,-75.8844,0.8388,0.22352,0.04004,4.1026,3.7466,0.9811,3.2496,-0.02761,-0.03221
3,0.1200,0.7229,0.0000,-0.1093,0.4444,-0.0235,-1.5652,-0.6459,0.7131,0.0984,-27.5761,-75.8828,0.7791,0.25566,0.02152,1.6154,2.1047,0.8259,1.8020,-0.03870,-0.04275
4,0.1600,0.7229,0.0000,-0.1093,0.5480,0.0389,-1.8709,-1.2365,0.7514,2.6558,-27.5758,-75.8801,0.7099,0.28749,-0.00906,-0.1500,-0.3267,-0.1343,0.0798,-0.04846,-0.04788
5,0.2000,0.7229,0.0000,-0.1093,0.2032,0.1206,0.1938,-0.5799,0.8075,0.1222,-27.5730,-75.8714,0.6850,0.32590,-0.02655,-0.0781,-0.9184,-0.3759,0.2439,-0.05704,-0.04057
6,0.2400,0.7229,0.0000,-0.1093,0.3518,0.0741,0.3364,-0.3900,-0.8956,0.7273,-27.5631,-75.8597,0.6920,0.32239,-0.03895,0.4068,-0.4696,-0.4157,-0.4211,-0.06460,-0.04858
7,0.2800,0.7229,0.0000,-0.1093,0.5175,-0.0250,0.0509,0.0368,-1.3296,0.8186,-27.5482,-75.8479,0.6927,0.26702,-0.03263,-0.3182,-0.7211,-0.3296,-0.3660,-0.05694,-0.02835
8,0.3200,0.7229,0.0000,-0.1093,0.5617,-0.0525,0.0302,0.2811,-1.1867,-0.1244,-27.5305,-75.8376,0.6870,0.21021,-0.01918,-0.4036,-0.6593,-0.1990,-0.0844,-0.03571,-0.01055
9,0.3600,0.7229,0.0000,-0.1093,0.5913,-0.0115,0.1608,0.0664,-1.0477,-0.1810,-27.5119,-75.8259,0.6856,0.16856,-0.01443,-0.0477,-0.1571,0.0163,0.1020,-0.01703,0.00085
10,0.4000,0.7229,0.0000,-0.1093,0.6299,-0.0082,0.1304,0.0455,-0.9642,-0.1082,-27.4920,-75.8124,0.6867,0.13081,-0.01245,0.0364,-0.0492,-0.0669,0.0135,-0.00140,0.01104
11,0.4400,0.7229,0.0000,-0.1093,0.6639,0.0001,0.1130,0.0027,-0.9427,-0.0953,-27.4711,-75.7980,0.6872,0.09220,-0.01147,0.0401,-0.0976,-0.1052,0.0429,0.01094,0.01959
12,0.4800,0.7229,0.0000,-0.1093,0.6626,0.0078,0.0929,-0.0392,-0.3913,-0.0627,-27.4496,-75.7830,0.6879,0.06761,-0.01213,0.0112,-0.1153,-0.1071,-0.0142,0.02403,0.03005
13,0.5200,0.7229,0.0000,-0.1093,0.6825,-0.0144,0.0588,0.0717,-0.3734,-0.0287,-27.4277,-75.7680,0.6878,0.05281,-0.01175,-0.0067,-0.0765,-0.0888,0.1051,0.02436,0.03073
14,0.5600,0.7229,0.0000,-0.1093,0.7030,-0.0041,0.0616,0.0242,-0.4192,-0.1612,-27.4048,-75.7529,0.6873,0.03615,-0.00888,0.0365,-0.0829,-0.0734,0.0419,0.02563,0.02904
15,0.6000,0.7229,0.0000,-0.1093,0.7051,-0.0067,0.0652,0.0341,-0.1795,-0.0970,-27.3816,-75.7374,0.6877,0.02539,-0.00769,-0.0082,-0.0966,-0.1013,0.0440,0.02766,0.03111
16,0.6400,0.7229,0.0000,-0.1093,0.7293,-0.0135,0.0397,0.0670,-0.4386,-0.0738,-27.3578,-75.7218,0.6877,0.01193,-0.00538,0.0170,-0.0673,-0.0746,0.0884,0.02760,0.03025
17,0.6800,0.7229,0.0000,-0.1093,0.7274,0.0062,0.0481,-0.0288,-0.2477,-0.2130,-27.3337,-75.7061,0.6878,-0.00125,-0.00379,0.0536,-0.0758,-0.0893,0.0461,0.03292,0.03331
18,0.7200,0.7229,0.0000,-0.1093,0.7180,0.0087,0.0375,-0.0427,0.0391,-0.2084,-27.3099,-75.6899,0.6883,-0.00392,-0.00573,-0.0001,-0.0933,-0.1074,0.0306,0.03282,0.03521
19,0.7600,0.7229,0.0000,-0.1093,0.7395,-0.0101,0.0291,0.0505,-0.2860,-0.1499,-27.2856,-75.6742,0.6882,-0.01017,-0.00578,0.0171,-0.0864,-0.0976,0.1243,0.02740,0.03000
20,0.8000,0.7229,0.0000,-0.1093,0.7365,-0.0071,0.0388,0.0351,-0.1327,-0.2000,-27.2606,-75.6589,0.6885,-0.01840,-0.00264,0.0283,-0.0983,-0.0977,0.0482,0.02811,0.02989
21,0.8400,0.7229,0.0000,-0.1093,0.7281,0.0025,0.0330,-0.0134,0.0565,-0.1805,-27.2359,-75.6434,0.6891,-0.01921,-0.00208,-0.0000,-0.1128,-0.1039,0.0610,0.02653,0.02822
22,0.8800,0.7229,0.0000,-0.1093,0.7375,-0.0033,0.0032,0.0150,-0.1146,-0.1183,-27.2111,-75.6280,0.6888,-0.02100,-0.00211,-0.0023,-0.0887,-0.0831,0.0826,0.02144,0.02491
23,0.9200,0.7229,0.0000,-0.1093,0.7390,-0.0083,0.0063,0.0405,-0.1051,-0.1181,-27.1859,-75.6129,0.6881,-0.02547,-0.00013,-0.0045,-0.0870,-0.0930,0.0848,0.02155,0.02330
24,0.9600,0.7229,0.0000,-0.1093,0.7280,-0.0021,0.0199,0.0093,0.1633,-0.1410,-27.1607,-75.5979,0.6879,-0.02353,0.00157,-0.0386,-0.1126,-0.0985,0.0455,0.02367,0.02273
25,1.0000,0.7229,0.0000,-0.1093,0.7367,0.0120,0.0300,-0.0604,0.0330,-0.1789,-27.1357,-75.5826,0.6881,-0.02030,0.00005,-0.0002,-0.1160,-0.0828,0.0844,0.02052,0.01886
26,1.0400,0.7229,0.0000,-0.1093,0.7343,0.0231,0.0208,-0.1170,0.1421,-0.2167,-27.1107,-75.5669,0.6882,-0.01688,-0.00379,0.0060,-0.1183,-0.0604,0.0292,0.01953,0.01806
27,1.0800,0.7229,0.0000,-0.1093,0.7546,-0.0141,0.0129,0.0700,-0.1783,-0.1391,-27.0853,-75.5518,0.6879,-0.01769,-0.00511,-0.0209,-0.0853,-0.1110,0.1306,0.01451,0.01725
28,1.1200,0.7229,0.0000,-0.1093,0.7616,0.0085,0.0433,-0.0435,-0.2183,-0.1540,-27.0590,-75.5371,0.6882,-0.02712,-0.00335,0.0463,-0.1360,-0.0931,0.0085,0.01747,0.01710
29,1.1600,0.7229,0.0000,-0.1093,0.7630,-0.0015,-0.0008,0.0057,-0.2761,-0.1742,-27.0329,-75.5220,0.6886,-0.03631,-0.00452,-0.0193,-0.0841,-0.0972,0.0566,0.01817,0.01971
30,1.2000,0.7229,0.0000,-0.1093,0.7478,0.0196,-0.0155,-0.1005,-0.0213,-0.2558,-27.0067,-75.5072,0.6878,-0.04254,-0.00545,0.0100,-0.1120,-0.0583,0.0201,0.02309,0.02216
31,1.2400,0.7229,0.0000,-0.1093,0.7486,0.0273,-0.0132,-0.1396,-0.1062,-0.3282,-26.9812,-75.4920,0.6871,-0.04471,-0.01134,0.0038,-0.0935,-0.0643,0.0609,0.02134,0.02237
32,1.2800,0.7229,0.0000,-0.1093,0.7452,0.0049,0.0049,-0.0273,-0.0541,-0.2241,-26.9553,-75.4775,0.6869,-0.04745,-0.01423,-0.0048,-0.1225,-0.1042,0.0310,0.02010,0.02504
33,1.3200,0.7229,0.0000,-0.1093,0.7382,-0.0199,0.0022,0.0978,0.0624,-0.2669,-26.9288,-75.4644,0.6869,-0.04694,-0.01142,-0.0377,-0.1051,-0.0865,0.0561,0.02123,0.02502
34,1.3600,0.7229,0.0000,-0.1093,0.7359,0.0131,0.0018,-0.0699,0.0412,-0.2762,-26.9024,-75.4513,0.6869,-0.04620,-0.01008,0.0057,-0.1240,-0.0352,0.0006,0.02208,0.02149
35,1.4000,0.7229,0.0000,-0.1093,0.7324,-0.0386,-0.0296,0.1917,0.0638,-0.2576,-26.8760,-75.4388,0.6863,-0.04238,-0.00788,-0.0698,-0.0655,-0.1110,0.1152,0.02044,0.02120
36,1.4400,0.7229,0.0000,-0.1093,0.7403,-0.0681,-0.1208,0.3356,0.1177,-0.2915,-26.8482,-75.4281,0.6831,-0.04225,0.00398,0.0476,-0.1644,0.0005,-0.0770,0.02150,0.01636
37,1.4800,0.7229,0.0000,-0.1093,0.7494,-0.1127,-0.2577,0.5952,0.1197,-0.4698,-26.8194,-75.4186,0.6753,-0.03822,0.02265,0.1413,-0.2865,0.0182,-0.1177,0.02367,0.00850
38,1.5200,0.7229,0.0000,-0.1093,0.7759,-0.2226,-0.3801,0.6386,-0.3471,-0.2730,-26.7886,-75.4130,0.6603,-0.03687,0.06175,0.4070,-0.3536,0.0562,-0.2138,0.03138,-0.00377
39,1.5600,0.7229,0.0000,-0.1093,0.7678,-0.1360,-0.0355,0.7280,-0.0984,-0.1123,-26.7573,-75.4078,0.6511,-0.04776,0.10308,-0.0313,-0.2162,-0.0887,0.0802,0.04202,-0.00690
40,1.6000,0.7229,0.0000,-0.1093,0.7588,-0.0158,0.1059,0.0759,0.2800,-0.3625,-26.7278,-75.3992,0.6532,-0.04144,0.11875,0.0453,-0.2022,0.0710,-0.1906,0.05138,-0.01651
41,1.6400,0.7229,0.0000,-0.1093,0.7707,-0.0020,-0.0707,-0.0289,-0.0603,-0.4642,-26.6994,-75.3884,0.6538,-0.03325,0.12005,0.0123,-0.1001,0.0217,0.0117,0.04763,-0.02124
42,1.6800,0.7229,0.0000,-0.1093,0.7581,0.0814,-0.1784,-0.4110,0.2036,-0.2759,-26.6714,-75.3759,0.6484,-0.02725,0.11345,0.0454,-0.1202,-0.2434,0.1535,0.04799,-0.01896
43,1.7200,0.7229,0.0000,-0.1093,0.7408,0.2358,-0.3431,-1.1642,0.3373,-0.4123,-26.6459,-75.3583,0.6380,-0.01166,0.07913,0.0556,0.0666,-0.4164,0.3230,0.03469,-0.01413
44,1.7600,0.7229,0.0000,-0.1093,0.7593,0.1507,-0.2742,-0.6987,-0.1288,-0.5666,-26.6215,-75.3385,0.6236,-0.00278,0.03546,0.0291,0.2632,-0.3691,0.3508,0.01613,0.00031
45,1.8000,0.7229,0.0000,-0.1093,0.7901,0.0089,-0.0158,-0.0479,-0.0843,-0.0630,-26.5929,-75.3253,0.6175,-0.01274,0.02091,-0.2166,-0.1537,-0.2017,0.0138,0.00753,0.01255
46,1.8400,0.7229,0.0000,-0.1093,0.8196,0.0105,0.0864,-0.0502,-0.4133,-0.3612,-26.5624,-75.3151,0.6187,-0.02715,0.02032,-0.0719,-0.1585,0.0164,-0.0342,0.00822,0.01049
47,1.8800,0.7229,0.0000,-0.1093,0.7815,-0.0262,0.0034,0.1213,0.2553,-0.1834,-26.5322,-75.3058,0.6208,-0.02705,0.02085,-0.0509,-0.1509,-0.0940,0.0143,0.01625,0.01775
