step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
0,0.0000,0.5370,0.0000,0.0102,-0.0126,0.0073,-0.2723,0.3454,1.8277,-0.1328,-27.8088,-75.9210,0.9087,0.07665,3.12658,1.1377,0.5216,-1.1749,-0.1846,-0.00720,-0.00030
1,0.0400,0.5370,0.0000,0.0102,0.1768,-0.0092,-0.8026,0.7031,1.1345,-1.8233,-27.8107,-75.9177,0.8824,0.11471,3.08474,1.4797,2.3316,0.6440,1.3009,-0.02074,-0.01466
2,0.0800,0.5370,0.0000,0.0102,0.2922,-0.0173,-1.2092,0.7955,1.1687,-3.2343,-27.8126,-75.9144,0.8403,0.16237,3.06190,2.9174,2.3282,0.9378,2.6349,-0.02775,-0.02730
3,0.1200,0.5370,0.0000,0.0102,0.3715,0.0074,-1.5631,-0.5043,0.4581,-0.0301,-27.8159,-75.9115,0.7818,0.18183,3.09652,1.5583,1.3809,0.7291,1.6309,-0.03401,-0.03843
4,0.1600,0.5370,0.0000,0.0102,0.4540,0.0508,-1.9405,-0.9744,0.5260,2.3574,-27.8197,-75.9111,0.7100,0.20083,-3.13128,0.0955,0.0711,0.1275,0.0459,-0.04433,-0.03892
5,0.2000,0.5370,0.0000,0.0102,0.2074,0.0014,0.1350,-0.0332,-0.6874,0.0834,-27.8250,-75.9074,0.6841,0.19521,-3.13398,-0.2658,-0.6038,-0.3391,0.1892,-0.05341,-0.03225
6,0.2400,0.5370,0.0000,0.0102,0.2494,-0.0162,0.0863,-0.1011,-0.5591,0.1695,-27.8299,-75.8987,0.6885,0.17176,3.13961,-0.2957,-0.7135,-0.5044,-0.8729,-0.04192,-0.02230
7,0.2800,0.5370,0.0000,0.0102,0.2947,0.0184,0.0027,-0.0814,-0.7931,-0.1278,-27.8367,-75.8902,0.6864,0.13169,-3.14032,-0.6204,-0.9459,-0.3387,-0.1788,-0.03273,-0.01423
8,0.3200,0.5370,0.0000,0.0102,0.3087,0.0068,0.0986,-0.0337,-0.8823,-0.0719,-27.8438,-75.8812,0.6860,0.10167,-3.13303,-0.1076,-0.2648,-0.0303,0.1607,-0.02315,-0.00157
9,0.3600,0.5370,0.0000,0.0102,0.2984,-0.0007,0.1003,-0.0031,-0.2774,0.0667,-27.8505,-75.8714,0.6878,0.08364,-3.13485,0.0341,-0.1234,-0.1052,0.0096,-0.00936,0.00846
10,0.4000,0.5370,0.0000,0.0102,0.3200,0.0190,0.0445,-0.0915,-0.3661,-0.0373,-27.8580,-75.8615,0.6882,0.06968,-3.13090,-0.0106,-0.1326,-0.0659,0.0216,-0.00599,0.00682
11,0.4400,0.5370,0.0000,0.0102,0.3380,0.0073,0.0403,-0.0397,-0.4847,0.0277,-27.8660,-75.8513,0.6876,0.05286,-3.12615,0.0036,-0.1079,-0.0800,0.0548,-0.00453,0.01058
12,0.4800,0.5370,0.0000,0.0102,0.3274,-0.0041,0.0578,0.0194,-0.0610,-0.0153,-27.8735,-75.8404,0.6875,0.04382,-3.12716,-0.0168,-0.1303,-0.1070,0.0119,0.00144,0.01838
13,0.5200,0.5370,0.0000,0.0102,0.3429,-0.0015,0.0481,0.0051,-0.2346,0.0019,-27.8812,-75.8294,0.6877,0.03685,-3.12749,-0.0192,-0.1251,-0.0613,0.0401,-0.00052,0.01492
14,0.5600,0.5370,0.0000,0.0102,0.3400,-0.0038,0.0285,0.0155,-0.0729,0.0335,-27.8888,-75.8182,0.6873,0.03161,-3.12922,-0.0248,-0.1090,-0.0759,0.0086,0.00112,0.01672
15,0.6000,0.5370,0.0000,0.0102,0.3393,0.0093,0.0296,-0.0494,0.0165,0.0431,-27.8968,-75.8072,0.6865,0.03037,-3.12826,-0.0427,-0.1336,-0.0672,0.0003,0.00031,0.01471
16,0.6400,0.5370,0.0000,0.0102,0.3388,0.0125,0.0480,-0.0608,0.1113,-0.0269,-27.9051,-75.7964,0.6861,0.03353,-3.12418,-0.0224,-0.1236,-0.0607,0.0322,-0.00283,0.01346
17,0.6800,0.5370,0.0000,0.0102,0.3473,-0.0019,0.0572,0.0099,0.0553,-0.0447,-27.9133,-75.7852,0.6863,0.03687,-3.12236,-0.0202,-0.1200,-0.0643,0.0379,-0.00624,0.01126
18,0.7200,0.5370,0.0000,0.0102,0.3669,-0.0036,0.0515,0.0173,-0.2361,-0.0324,-27.9214,-75.7734,0.6865,0.03166,-3.12347,-0.0070,-0.1231,-0.0577,0.0141,-0.00699,0.00844
19,0.7600,0.5370,0.0000,0.0102,0.3613,-0.0091,0.0569,0.0381,-0.0513,0.0992,-27.9295,-75.7614,0.6869,0.02686,-3.12640,-0.0316,-0.1398,-0.1036,0.0142,-0.00295,0.01083
20,0.8000,0.5370,0.0000,0.0102,0.3649,0.0022,0.0442,-0.0158,-0.0720,0.0745,-27.9379,-75.7495,0.6870,0.02404,-3.12743,-0.0221,-0.1309,-0.0718,0.0174,-0.00392,0.00900
21,0.8400,0.5370,0.0000,0.0102,0.3628,-0.0041,0.0399,0.0116,0.0130,0.1325,-27.9463,-75.7377,0.6869,0.02374,-3.12779,-0.0437,-0.1292,-0.0996,0.0176,-0.00390,0.01074
22,0.8800,0.5370,0.0000,0.0102,0.3598,0.0147,0.0456,-0.0718,0.1366,-0.0296,-27.9551,-75.7260,0.6866,0.02630,-3.12622,-0.0146,-0.1360,-0.0482,0.0109,-0.00280,0.00870
23,0.9200,0.5370,0.0000,0.0102,0.3693,0.0052,0.0393,-0.0267,0.0036,-0.0176,-27.9641,-75.7145,0.6864,0.02931,-3.12204,-0.0350,-0.1167,-0.0644,0.0234,-0.00733,0.00608
24,0.9600,0.5370,0.0000,0.0102,0.3792,0.0029,0.0457,-0.0174,-0.1245,0.0218,-27.9730,-75.7024,0.6862,0.02588,-3.12125,-0.0024,-0.1268,-0.0574,0.0070,-0.00780,0.00454
25,1.0000,0.5370,0.0000,0.0102,0.3778,0.0060,0.0552,-0.0324,-0.0561,0.0268,-27.9820,-75.6903,0.6865,0.02274,-3.11990,-0.0106,-0.1341,-0.0800,-0.0009,-0.00396,0.00487
26,1.0400,0.5370,0.0000,0.0102,0.3791,-0.0008,0.0433,0.0038,-0.0422,-0.0271,-27.9910,-75.6781,0.6866,0.02109,-3.11905,-0.0147,-0.1143,-0.0699,0.0160,-0.00357,0.00602
27,1.0800,0.5370,0.0000,0.0102,0.3702,-0.0072,0.0484,0.0316,0.1727,0.0478,-27.9997,-75.6658,0.6866,0.02470,-3.12120,-0.0337,-0.1389,-0.1022,-0.0085,-0.00333,0.00763
28,1.1200,0.5370,0.0000,0.0102,0.3915,-0.0099,0.0497,0.0452,-0.2340,0.0315,-28.0085,-75.6533,0.6867,0.02185,-3.12326,-0.0158,-0.1223,-0.0817,0.0487,-0.00809,0.00342
29,1.1600,0.5370,0.0000,0.0102,0.3916,-0.0011,0.0502,0.0058,-0.2114,-0.0319,-28.0174,-75.6405,0.6870,0.01243,-3.12584,-0.0108,-0.1348,-0.0763,-0.0044,-0.00216,0.00445
30,1.2000,0.5370,0.0000,0.0102,0.3708,0.0179,0.0519,-0.0872,0.1863,-0.0486,-28.0267,-75.6284,0.6874,0.01368,-3.12326,0.0015,-0.1348,-0.0767,-0.0015,0.00023,0.00742
31,1.2400,0.5370,0.0000,0.0102,0.3713,0.0145,0.0258,-0.0734,0.1734,0.0035,-28.0362,-75.6168,0.6871,0.02115,-3.11710,-0.0242,-0.1280,-0.0651,0.0028,-0.00444,0.00486
32,1.2800,0.5370,0.0000,0.0102,0.3842,-0.0009,0.0241,-0.0003,-0.0605,0.0470,-28.0454,-75.6048,0.6862,0.02226,-3.11492,-0.0271,-0.1309,-0.0629,0.0112,-0.00884,0.00197
33,1.3200,0.5370,0.0000,0.0102,0.3898,-0.0032,0.0628,0.0107,-0.1518,0.0636,-28.0544,-75.5923,0.6862,0.01754,-3.11596,-0.0061,-0.1489,-0.0829,0.0127,-0.00674,0.00080
34,1.3600,0.5370,0.0000,0.0102,0.3883,0.0007,0.0507,-0.0030,-0.1075,-0.0357,-28.0636,-75.5798,0.6869,0.01261,-3.11653,-0.0085,-0.1277,-0.0653,-0.0155,-0.00380,0.00186
